,name,categories,address,crossStreet,lat,lng,labeledLatLngs,distance,postalCode,cc,city,state,country,formattedAddress,neighborhood,id
28,Angelo's Pizza,Pizza Place,1043 2nd Ave,at 55th St,40.75793215243092,-73.96638918120077,"[{'label': 'display', 'lat': 40.75793215243092, 'lng': -73.96638918120077}, {'label': 'entrance', 'lat': 40.757926, 'lng': -73.966546}]",1642,10022,US,New York,NY,United States,"['1043 2nd Ave (at 55th St)', 'New York, NY 10022', 'United States']",,4a6b8cb8f964a5201bcf1fe3
29,Jimmy's New York Style Pizza Store in Macy's,Pizza Place,Macy's 34th St,,40.75196507279782,-73.98634021886579,"[{'label': 'display', 'lat': 40.75196507279782, 'lng': -73.98634021886579}]",593,,US,Manhattan,NY,United States,"[""Macy's 34th St"", 'Manhattan, NY', 'United States']",,534440c5498ee031ceec8d89
30,Bravo Pizza,Pizza Place,107 W 37th St,at Broadway,40.752163,-73.987817,"[{'label': 'display', 'lat': 40.752163, 'lng': -73.987817}]",593,10018,US,New York,NY,United States,"['107 W 37th St (at Broadway)', 'New York, NY 10018', 'United States']",Garment District,4a6a002ef964a52058cc1fe3
31,High Line Pizza,Pizza Place,503 W 28th St,btwn 10th & 11th Ave,40.7509951912159,-74.00223340767151,"[{'label': 'display', 'lat': 40.7509951912159, 'lng': -74.00223340767151}]",1548,10001,US,New York,NY,United States,"['503 W 28th St (btwn 10th & 11th Ave)', 'New York, NY 10001', 'United States']",,4f909b08e4b06e306f19a4a6
32,2 Bros. Pizza,Pizza Place,755 Avenue of the Americas,at W 25th St,40.74424753245427,-73.99188721843028,"[{'label': 'display', 'lat': 40.74424753245427, 'lng': -73.99188721843028}]",1537,10010,US,New York,NY,United States,"['755 Avenue of the Americas (at W 25th St)', 'New York, NY 10010', 'United States']",,4cdac2d7a1bba35d21a090e5
33,Brick Oven Pizza 33,Pizza Place,527 Avenue of the Americas,at W 14th st,40.74504607583719,-73.97837162017821,"[{'label': 'display', 'lat': 40.74504607583719, 'lng': -73.97837162017821}]",1501,10011,US,New York,NY,United States,"['527 Avenue of the Americas (at W 14th st)', 'New York, NY 10011', 'United States']",,49dcfa99f964a520d15f1fe3
34,Sabinas Pizza,Pizza Place,150 W 36th St,btw Broadway & 7th Ave.,40.7517204284668,-73.98899841308594,"[{'label': 'display', 'lat': 40.7517204284668, 'lng': -73.98899841308594}]",673,10018,US,New York,NY,United States,"['150 W 36th St (btw Broadway & 7th Ave.)', 'New York, NY 10018', 'United States']",,4b16b831f964a52080bc23e3
35,Don Pepi Pizza,Pizza Place,2 Penn Plz,Lower Level Penn Station,40.750299518038695,-73.99300887473368,"[{'label': 'display', 'lat': 40.750299518038695, 'lng': -73.99300887473368}]",983,10121,US,New York,NY,United States,"['2 Penn Plz (Lower Level Penn Station)', 'New York, NY 10121', 'United States']",,4a8ca0bef964a520ba0e20e3
36,Jimmy's Pizza,Pizza Place,151 W 34th St,btwn 7th Ave & Broadway,40.75085656582931,-73.98906624647115,"[{'label': 'display', 'lat': 40.75085656582931, 'lng': -73.98906624647115}]",764,10001,US,New York,NY,United States,"['151 W 34th St (btwn 7th Ave & Broadway)', 'New York, NY 10001', 'United States']",,4ce4134377ef224b869a467b
37,Café Bonjour Deli & Pizza,Deli / Bodega,18 W 38th St,5th Avenue,40.75134984419345,-73.98376227889581,"[{'label': 'display', 'lat': 40.75134984419345, 'lng': -73.98376227889581}]",683,10018,US,New York,NY,United States,"['18 W 38th St (5th Avenue)', 'New York, NY 10018', 'United States']",,4c163ecaa9c220a1f34a5a9d
38,Prince Street Pizza,Pizza Place,27 Prince St,btwn Mott & Elizabeth St,40.72309326145674,-73.99452729447745,"[{'label': 'display', 'lat': 40.72309326145674, 'lng': -73.99452729447745}]",3875,10012,US,New York,NY,United States,"['27 Prince St (btwn Mott & Elizabeth St)', 'New York, NY 10012', 'United States']",,4f045eeb00399761c77301e3
39,The Best $1 Dollar Pizza Slice,Pizza Place,748 9th Ave,btwn W 50th & 51st St,40.7637642935145,-73.98881237536058,"[{'label': 'display', 'lat': 40.7637642935145, 'lng': -73.98881237536058}, {'label': 'entrance', 'lat': 40.763697, 'lng': -73.988585}]",763,10019,US,New York,NY,United States,"['748 9th Ave (btwn W 50th & 51st St)', 'New York, NY 10019', 'United States']",,5094980e19a9c415175d8069
40,Mondello Pizza,Pizza Place,3 E 37th St,,40.750494,-73.982419,"[{'label': 'display', 'lat': 40.750494, 'lng': -73.982419}]",809,10016,US,New York,NY,United States,"['3 E 37th St', 'New York, NY 10016', 'United States']",,4d8ef0d2c479a35d9a0a5297
41,La Pizza & La Pasta,Italian Restaurant,200 5th Ave,at W 23rd St,40.74244920189739,-73.98998303334243,"[{'label': 'display', 'lat': 40.74244920189739, 'lng': -73.98998303334243}]",1687,10010,US,New York,NY,United States,"['200 5th Ave (at W 23rd St)', 'New York, NY 10010', 'United States']",NoMad,53370455498e18d7e6607a1d
42,Garlic New York Pizza Bar,Pizza Place,629 2nd Ave,btw 34 & 35 St,40.745068175947466,-73.97566605746329,"[{'label': 'display', 'lat': 40.745068175947466, 'lng': -73.97566605746329}]",1608,10016,US,New York,NY,United States,"['629 2nd Ave (btw 34 & 35 St)', 'New York, NY 10016', 'United States']",,4e09201f14959022c8a0d119
43,99¢ Fresh Pizza,Pizza Place,473 Lexington Ave,E 46th St,40.75377746512226,-73.97438417198434,"[{'label': 'display', 'lat': 40.75377746512226, 'lng': -73.97438417198434}]",1042,10017,US,New York,NY,United States,"['473 Lexington Ave (E 46th St)', 'New York, NY 10017', 'United States']",,4d012c08ba1da1cd3cb68c28
44,Taco Bell/Pizza Hut,Fast Food Restaurant,390 8th Avenue,,40.749272,-73.995269,"[{'label': 'display', 'lat': 40.749272, 'lng': -73.995269}]",1193,10001,US,New York,NY,United States,"['390 8th Avenue', 'New York, NY 10001', 'United States']",,4f18c538e4b09594f839d493
45,Pizza Collective,Pizza Place,2060 Broadway,W 71st Street,40.777556,-73.981826,"[{'label': 'display', 'lat': 40.777556, 'lng': -73.981826}]",2282,10023,US,New York,NY,United States,"['2060 Broadway (W 71st Street)', 'New York, NY 10023', 'United States']",,5ebf26c68b52bb00076acf85
46,Famous Amadeus Pizza - Madison Square Garden,Pizza Place,408 8th Ave,btwn 30th & 31st St.,40.74997136135268,-73.99504911382894,"[{'label': 'display', 'lat': 40.74997136135268, 'lng': -73.99504911382894}]",1123,10001,US,New York,NY,United States,"['408 8th Ave (btwn 30th & 31st St.)', 'New York, NY 10001', 'United States']",,49c8f409f964a52026581fe3
47,Famous Original Ray's Pizza,Pizza Place,1710 Broadway,btwn 54th & 55th St.,40.764252590268434,-73.98255226953434,"[{'label': 'display', 'lat': 40.764252590268434, 'lng': -73.98255226953434}, {'label': 'entrance', 'lat': 40.764211, 'lng': -73.982209}]",824,10019,US,New York,NY,United States,"['1710 Broadway (btwn 54th & 55th St.)', 'New York, NY 10019', 'United States']",,4b272785f964a520f98424e3
48,"Taco Bell, KFC, Pizza Hut, Nathan's, and Tim Hortons",Fast Food Restaurant,4 Pennsylvania Plaza,,40.75122633193553,-73.99295212388279,"[{'label': 'display', 'lat': 40.75122633193553, 'lng': -73.99295212388279}]",901,10001,US,New York,NY,United States,"['4 Pennsylvania Plaza', 'New York, NY 10001', 'United States']",,52e7098e11d25769152f07fd
49,The Pizza (TurnStyle),Pizza Place,Columbus Circle,,40.766981,-73.982708,"[{'label': 'display', 'lat': 40.766981, 'lng': -73.982708}]",1111,10019,US,New York,NY,United States,"['Columbus Circle', 'New York, NY 10019', 'United States']",,572bdb0a498e05a2d3f34426
